Employee ID,Gender,HireDate,Date of Birth,Today's Date,Age,Length of Service,LOS Range,Location,Department,Job Grade,Column
377,F,1/13/2013 0:00,5/7/1989 0:00,4/15/2025 0:00,35,12,,Abuja,Production,Mid-Management,Millennials
411,F,1/13/2017 0:00,12/1/1981 0:00,4/15/2025 0:00,43,8,,Lagos,Production,Officer,Millennials
467,F,1/13/2017 0:00,2/9/1989 0:00,4/15/2025 0:00,36,8,,Lagos,Production,Officer,Millennials
474,M,1/13/2016 0:00,10/3/1988 0:00,4/15/2025 0:00,36,9,,Lagos,Production,Officer,Millennials
486,M,1/15/2009 0:00,2/2/1988 0:00,4/15/2025 0:00,37,16,,Abuja,Production,Management,Millennials
501,F,1/15/2010 0:00,8/12/1974 0:00,4/15/2025 0:00,50,15,,Lagos,Production,Mid-Management,Gen X
572,F,1/15/2009 0:00,7/12/1990 0:00,4/15/2025 0:00,34,16,,Lagos,Production,Mid-Management,Millennials
735,M,1/13/2017 0:00,4/6/1992 0:00,4/15/2025 0:00,33,8,,Lagos,Production,Officer,Millennials
820,F,1/13/2017 0:00,4/11/1982 0:00,4/15/2025 0:00,43,8,,Lagos,Sales,Officer,Millennials
822,M,2/26/2010 0:00,4/5/1978 0:00,4/15/2025 0:00,47,15,,Port-Harcourt,Logistics,Officer,Gen X
862,F,12/12/2007 0:00,6/10/1974 0:00,4/15/2025 0:00,50,17,,Port-Harcourt,Logistics,Mid-Management,Gen X
884,M,1/5/2007 0:00,1/8/1962 0:00,4/15/2025 0:00,63,18,,Warri,Production,Officer,Baby Boomers
925,M,1/13/2015 0:00,11/1/1982 0:00,4/15/2025 0:00,42,10,,Abeoukuta,Production,Officer,Millennials
973,M,1/20/2005 0:00,9/3/1990 0:00,4/15/2025 0:00,34,20,,Osogbo,Production,Mid-Management,Millennials
1042,M,1/26/2013 0:00,3/12/1987 0:00,4/15/2025 0:00,38,12,,Abuja,Production,Mid-Management,Millennials
1087,M,2/6/2012 0:00,6/5/1974 0:00,4/15/2025 0:00,50,13,,Lagos,Production,Top Management,Gen X
1125,M,2/6/2006 0:00,6/6/1978 0:00,4/15/2025 0:00,46,19,,Lagos,Production,Officer,Gen X
1164,M,1/13/2017 0:00,3/12/1990 0:00,4/15/2025 0:00,35,8,,Abeoukuta,Sales,Officer,Millennials
1182,F,2/24/2013 0:00,9/4/1973 0:00,4/15/2025 0:00,51,12,,Lagos,Sales,Officer,Gen X
1185,F,3/3/2008 0:00,7/7/1978 0:00,4/15/2025 0:00,46,17,,Lagos,Finance,Top Management,Gen X
1209,F,1/2/2002 0:00,5/5/1979 0:00,4/15/2025 0:00,45,23,,Abeoukuta,Production,Officer,Gen X
1250,M,3/11/2010 0:00,12/3/1986 0:00,4/15/2025 0:00,38,15,,Lagos,Production,Officer,Millennials
1251,M,3/23/2009 0:00,4/4/1987 0:00,4/15/2025 0:00,38,16,,Lagos,Human Resource,Management,Millennials
1253,F,3/30/2008 0:00,9/6/1984 0:00,4/15/2025 0:00,40,17,,Calabar,Finance,Officer,Millennials
1320,F,4/11/1998 0:00,8/3/1967 0:00,4/15/2025 0:00,57,27,,Lagos,Production,Mid-Management,Gen X
1376,M,1/2/2001 0:00,4/7/1973 0:00,4/15/2025 0:00,52,24,,Abeoukuta,Production,Officer,Gen X
1393,F,1/2/2003 0:00,1/7/1965 0:00,4/15/2025 0:00,60,22,,Abuja,Finance,Officer,Gen X
1403,M,1/2/2002 0:00,10/4/1979 0:00,4/15/2025 0:00,45,23,,Lagos,Finance,Officer,Gen X
1404,F,1/2/1999 0:00,2/8/1977 0:00,4/15/2025 0:00,48,26,,Port-Harcourt,Finance,Management,Gen X
1405,M,1/3/1999 0:00,7/1/1986 0:00,4/15/2025 0:00,38,26,,Lagos,Production,Mid-Management,Millennials
1407,M,1/3/1999 0:00,5/7/1979 0:00,4/15/2025 0:00,45,26,,Abuja,Production,Mid-Management,Gen X
1435,M,1/8/2014 0:00,11/10/1989 0:00,4/15/2025 0:00,35,11,,Lagos,Sales,Officer,Millennials
1440,M,1/13/2018 0:00,11/10/1991 0:00,4/15/2025 0:00,33,7,,Lagos,Sales,Officer,Millennials
1443,M,1/5/2006 0:00,9/5/1981 0:00,4/15/2025 0:00,43,19,,Ibadan,Sales,Officer,Millennials
1444,M,1/5/2014 0:00,12/4/1990 0:00,4/15/2025 0:00,34,11,,Lagos,Sales,Mid-Management,Millennials
1472,M,1/13/2018 0:00,10/11/1992 0:00,4/15/2025 0:00,32,7,,Kano,Sales,Officer,Millennials
1476,F,1/6/2005 0:00,5/7/1989 0:00,4/15/2025 0:00,35,20,,Lagos,Sales,Officer,Millennials
1478,F,1/7/2009 0:00,12/1/1981 0:00,4/15/2025 0:00,43,16,,Abeoukuta,Sales,Mid-Management,Millennials
6,F,1/7/2006 0:00,2/9/1989 0:00,4/15/2025 0:00,36,19,,Kano,Sales,Mid-Management,Millennials
16,M,1/8/2011 0:00,10/3/1982 0:00,4/15/2025 0:00,42,14,,Lagos,Sales,Top Management,Millennials
46,M,1/8/2014 0:00,2/2/1988 0:00,4/15/2025 0:00,37,11,,Lagos,Sales,Officer,Millennials
47,F,1/8/2013 0:00,8/12/1974 0:00,4/15/2025 0:00,50,12,,Lagos,Production,Officer,Gen X
48,F,1/13/2018 0:00,7/12/1990 0:00,4/15/2025 0:00,34,7,,Lagos,Production,Officer,Millennials
58,M,1/8/2011 0:00,4/6/1982 0:00,4/15/2025 0:00,43,14,,Ibadan,Leadership,Top Management,Millennials
144,F,1/9/2008 0:00,8/3/1967 0:00,4/15/2025 0:00,57,17,,Lagos,Logistics,Officer,Gen X
166,M,1/9/2013 0:00,4/7/1973 0:00,4/15/2025 0:00,52,12,,Port-Harcourt,Logistics,Officer,Gen X
171,F,1/10/2004 0:00,1/7/1965 0:00,4/15/2025 0:00,60,21,,Abuja,Logistics,Management,Gen X
172,M,1/10/2013 0:00,10/4/1979 0:00,4/15/2025 0:00,45,12,,Ibadan,Logistics,Officer,Gen X
317,M,1/10/2007 0:00,2/8/1977 0:00,4/15/2025 0:00,48,18,,Calabar,Finance,Mid-Management,Gen X
387,M,1/12/2013 0:00,7/1/1986 0:00,4/15/2025 0:00,38,12,,Abuja,Sales,Officer,Millennials
491,M,1/13/2011 0:00,5/7/1979 0:00,4/15/2025 0:00,45,14,,Lagos,Sales,Officer,Gen X
497,M,1/13/2018 0:00,11/10/1989 0:00,4/15/2025 0:00,35,7,,Lagos,Sales,Officer,Millennials
617,M,1/13/2013 0:00,11/10/1991 0:00,4/15/2025 0:00,33,12,,Lagos,Logistics,Mid-Management,Millennials
619,M,1/13/2007 0:00,9/5/1981 0:00,4/15/2025 0:00,43,18,,Abuja,Production,Mid-Management,Millennials
628,F,1/14/2009 0:00,8/3/1967 0:00,4/15/2025 0:00,57,16,,Lagos,Production,Mid-Management,Gen X
737,F,1/15/2010 0:00,4/7/1973 0:00,4/15/2025 0:00,52,15,,Lagos,Production,Officer,Gen X
797,F,1/15/2009 0:00,1/7/1965 0:00,4/15/2025 0:00,60,16,,Lagos,Production,Officer,Gen X
808,M,1/13/2013 0:00,10/4/1979 0:00,4/15/2025 0:00,45,12,,Lagos,Production,Officer,Gen X
830,M,1/13/2007 0:00,2/8/1977 0:00,4/15/2025 0:00,48,18,,Port-Harcourt,Production,Mid-Management,Gen X
939,F,1/13/2018 0:00,7/1/1986 0:00,4/15/2025 0:00,38,7,,Port-Harcourt,Production,Officer,Millennials
940,F,1/15/2010 0:00,5/7/1979 0:00,4/15/2025 0:00,45,15,,Warri,Production,Officer,Gen X
942,M,1/15/2019 0:00,11/10/1989 0:00,4/15/2025 0:00,35,6,,Abeoukuta,Production,Officer,Millennials
959,F,7/31/2020 0:00,4/11/1998 0:00,4/15/2025 0:00,27,4,,Port-Harcourt,Sales,Officer,Gen Z
949,F,7/31/2020 0:00,4/11/1997 0:00,4/15/2025 0:00,28,4,,Warri,Logistics,Officer,Gen Z
969,F,7/31/2020 0:00,4/11/1996 0:00,4/15/2025 0:00,29,4,,Abeoukuta,Human Resource,Officer,Millennials
989,F,7/31/2020 0:00,4/11/1998 0:00,4/15/2025 0:00,27,4,,Lagos,Human Resource,Officer,Gen Z
